brand,model,category
Oracle,Sun Enterprise 250/450,Servers
Oracle,Sun Enterprise E3000,Servers
Oracle,Sun Enterprise E3500,Servers
Oracle,Sun Enterprise E4000,Servers
Oracle,Sun Enterprise E4500,Servers
Oracle,Sun Enterprise E5000,Servers
Oracle,Sun Enterprise E5500,Servers
Oracle,Sun Enterprise E6000,Servers
Oracle,Sun Enterprise E6500,Servers
Oracle,Sun Fire 12K,Servers
Oracle,Sun Fire 15K,Servers
Oracle,Sun Fire 20K,Servers
Oracle,Sun Fire 25K,Servers
Oracle,Sun Fire 280R,Servers
Oracle,Sun Fire 3800,Servers
Oracle,Sun Fire 4800,Servers
Oracle,Sun Fire 4810,Servers
Oracle,Sun Fire 4900,Servers
Oracle,Sun Fire 6800,Servers
Oracle,Sun Fire 6900,Servers
Oracle,Sun Fire E2900,Servers
Oracle,Sun Fire V100,Servers
Oracle,Sun Fire V120/V125,Servers
Oracle,Sun Fire V1280/V1290,Servers
Oracle,Sun Fire V210/V215,Servers
Oracle,Sun Fire V240/V245,Servers
Oracle,Sun Fire V440/V445,Servers
Oracle,Sun Fire V480/V490,Servers
Oracle,Sun Fire V60x,Servers
Oracle,Sun Fire V65x,Servers
Oracle,Sun Fire V880/V890,Servers
Oracle,Sun Fire X2100,Servers
Oracle,Sun Fire X2100 M2,Servers
Oracle,Sun Fire X2200,Servers
Oracle,Sun Fire X2250,Servers
Oracle,Sun Fire X2270,Servers
Oracle,Sun Fire X2270 M2,Servers
Oracle,Sun Fire X4100,Servers
Oracle,Sun Fire X4100 M2,Servers
Oracle,Sun Fire X4140,Servers
Oracle,Sun Fire X4150,Servers
Oracle,Sun Fire X4170,Servers
Oracle,Sun Fire X4170 M2,Servers
Oracle,Sun Fire X4200,Servers
Oracle,Sun Fire X4200 M2,Servers
Oracle,Sun Fire X4240,Servers
Oracle,Sun Fire X4250,Servers
Oracle,Sun Fire X4270,Servers
Oracle,Sun Fire X4270 M2,Servers
Oracle,Sun Fire X4275,Servers
Oracle,Sun Fire X4440,Servers
Oracle,Sun Fire X4450,Servers
Oracle,Sun Fire X4470,Servers
Oracle,Sun Fire X4500,Servers
Oracle,Sun Fire X4540,Servers
Oracle,Sun Fire X4600,Servers
Oracle,Sun Fire X4640,Servers
Oracle,Sun Netra 120,Servers
Oracle,Sun Netra 1280/1290,Servers
Oracle,Sun Netra 1290,Servers
Oracle,Sun Netra 20,Servers
Oracle,Sun Netra 210,Servers
Oracle,Sun Netra 240,Servers
Oracle,Sun Netra T 1100,Servers
Oracle,Sun Netra T 1120/T 1125,Servers
Oracle,Sun Netra T 1400/T 1405,Servers
Oracle,Sun Netra T1 100/T1 105,Servers
Oracle,Sun Netra T1 AC200,Servers
Oracle,Sun Netra T1 DC200,Servers
Oracle,Sun Netra T5220,Servers
Oracle,Sun Netra X1,Servers
Oracle,Sun Network QDR InfiniBand Gateway Switch,Network
Oracle,"Sun Quad Port GbE PCIe 2.0 ExpressModule, MMF",Network
Oracle,"Sun Quad Port GbE PCIe 2.0 ExpressModule, UTP ",Network
Oracle,Sun Quad Port PCIe 2.0 Gigabit Ethernet Networking Cards,Network
Oracle,Sun Solid State Drives,Storage
Oracle,Sun SPARC 1 (4/60),Servers
Oracle,Sun SPARC 1+ (4/65),Servers
Oracle,Sun SPARC 10,Servers
Oracle,Sun SPARC 1000/E,Servers
Oracle,Sun SPARC 2 (4/75),Servers
Oracle,Sun SPARC 20,Servers
Oracle,Sun SPARC 2000/E,Servers
Oracle,Sun SPARC 5,Servers
