,model,retail_price,partner_price,category,brand
112,SPARE CHASSIS SR2600,"$15,722","$11,634",Storage,EMC
113,DIMM 1GB DDR3,"$1,604","$1,187",Storage,EMC
114,DISK; SAS 300; 300 GB; 15K RPM,"$2,444","$1,809",Storage,EMC
115,DVD/CDRW DRIVE,$262,$194,Storage,EMC
116,2 PORT 10 GB ETHERNET ADAPTER SR,"$5,816","$4,304",Storage,EMC
117,FAN KIT; SR2600,$300,$222,Storage,EMC
118,I/O MODULE; 10 GIGE; DUAL PORT,"$3,050","$2,257",Storage,EMC
119,I/O DUAL GIG E,$665,$492,Storage,EMC
120,I/O MODULE; GIGE; QUAD PORT,"$2,158","$1,597",Storage,EMC
121,PEFA-LP MULTI MODE FICON ADAPTER,"$6,022","$4,456",Storage,EMC
122,PEFA-LP SINGLE MODE FICON ADAPTER,"$6,492","$4,804",Storage,EMC
123,ESCON SPARE PCI-E W/CABLE,"$11,603","$8,586",Storage,EMC
124,POWER SUPPLY 750W SR2600,"$1,025",$759,Storage,EMC
125,2.2TB4N MRDWIN LGT3YRMNT,"$163,033","$101,080",Storage,EMC
126,2.2TB4N MRDWIN LGT2YRMNT,"$137,013","$84,948",Storage,EMC
127,2.2TB4NOD LGTO1000MAILBX,"$201,633","$125,012",Storage,EMC
128,4NODEMRRD MAIN3YR S/HMNT,"$123,252","$76,416",Storage,EMC
129,4NODEMRRD CNTINSTL3YRMNT,"$99,102","$61,443",Storage,EMC
130,4.4TB8NODE LGTO500MAILBXS,"$220,268","$136,566",Storage,EMC
131,4.4TB8N MRDWIN LGT3YRMNT,"$179,613","$111,360",Storage,EMC
132,4.4TB8NOD LGTO1000MAILBX,"$247,768","$153,616",Storage,EMC
133,4.4TB8NODEMRD MAIN3YRMNT,"$172,154","$106,735",Storage,EMC
134,4.4TB8NODE CNRINSTL3YRMNT,"$157,504","$97,652",Storage,EMC
135,UTP CAT6 CABLE 100 WHITE,$200,$124,Storage,EMC
136,2 15' (BRN) CAT6 LAN CBL INTER,$100,$62,Storage,EMC
137,UTP CAT 6 CABLE 25 WHITE,$100,$62,Storage,EMC
138,2 70' (BRN) CAT6 LAN CBL INTER,$200,$124,Storage,EMC
139,2.2TB 4NODECNTRA2YRS/HMNT,"$102,300","$63,426",Storage,EMC
140,UNBUNDLED 2 NODE GEN4LP 1TB UPG FLD INST,"$9,990","$6,194",Storage,EMC
141,BUNDLED 2 NODE GEN4LP 1TB UPG FACT INST,"$9,990","$6,194",Storage,EMC
142,UNBUNDLED 2 NODE GEN4LP 2TB UPG FLD INST,"$17,760","$11,011",Storage,EMC
143,BUNDLED 2 NODE GEN4LP 2TB UPG FACT INST,"$17,760","$11,011",Storage,EMC
144,UNBUNDLED 2 NODE GEN4LP 3TB UPG FLD INST,"$24,770","$15,357",Storage,EMC
145,BUNDLED 2 NODE GEN4LP 3TB UPG FACT INST,"$24,770","$15,357",Storage,EMC
146,3 PHASE DELTA DUAL PDP NAM PWR RK FLD,"$1,200",$744,Storage,EMC
147,UNBUNDLED 4 NODE GEN4LP 1TB FLD INST,"$20,940","$12,983",Storage,EMC
148,BUNDLED 4 NODE GEN4LP 1TB FACTORY INST,"$20,940","$12,983",Storage,EMC
