category,subcategory,name
Cloud Services,Standard_D1_v2 Cloud Services,Microsoft Azure
Azure IoT Hub,,Microsoft Azure
Virtual Machines,A11 VM,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Virtual Machines,Standard_L4 VM,Microsoft Azure
Virtual Machines,A2 VM,Microsoft Azure
Virtual Machines,Standard_F4_v2 VM (Windows),Microsoft Azure
Virtual Machines,BASIC.A4 VM,Microsoft Azure
Azure App Service,,Microsoft Azure
Virtual Machines,Standard_D12_v2 VM,Microsoft Azure
Media,Media Services,Microsoft Azure
Media,Media Services,Microsoft Azure
Media,Media Services,Microsoft Azure
Cloud Services,Standard_D4 Cloud Services,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_D3 VM (Windows),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Cloud Services,Standard_D5_v2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_G5 VM (Windows),Microsoft Azure
Virtual Machines,Standard_E4_v3 VM Low Priority (Windows),Microsoft Azure
Networking,Geo Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Networking,Basic Application Gateway (Small),Microsoft Azure
Virtual Machines,Standard_D12 VM,Microsoft Azure
Virtual Machines,BizTalk Server Enterprise (40 core),Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_F16 VM,Microsoft Azure
Virtual Machines,Standard_NV24 VM,Microsoft Azure
Business Analytics,A6 HDInsight,Microsoft Azure
Networking,WAF Application Gateway (Large),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_D2_v2 VM_Promo (Windows),Microsoft Azure
Virtual Machines,A5 VM,Microsoft Azure
Data Services,DocumentDB,Microsoft Azure
Cloud Services,Standard_D13 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_A2_v2 VM,Microsoft Azure
Virtual Machines,Standard_D15_v2 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,Standard_D5_v2 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Business Analytics,D1 HDInsight,Microsoft Azure
Virtual Machines,Standard_M64ms VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A5 VM (Windows),Microsoft Azure
Data Management,,Microsoft Azure
Networking,Basic Application Gateway (Large),Microsoft Azure
Virtual Machines,Standard_D14 VM (Windows),Microsoft Azure
Cloud Services,Standard_D14_v2 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_D1_v2 VM (Windows),Microsoft Azure
Data Management,Geo Redundant,Microsoft Azure
Data Management,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_NC12 VM (Windows),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Networking,Basic Application Gateway (Medium),Microsoft Azure
Virtual Machines,Standard_D11_v2 VM (Windows),Microsoft Azure
Networking,Virtual Network,Microsoft Azure
Virtual Machines,Standard_A1_v2 VM (Windows),Microsoft Azure
Data Services,Azure Database for Postgres,Microsoft Azure
Virtual Machines,Standard_G1 VM,Microsoft Azure
Virtual Machines,Standard_NC12 VM (Windows),Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
App Services,API Management,Microsoft Azure
Virtual Machines,Standard_D64_v3 VM Low Priority,Microsoft Azure
Virtual Machines,Standard_D13_v2 VM_Promo,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_D1 VM,Microsoft Azure
Virtual Machines,A7 VM (Windows),Microsoft Azure
Virtual Machines,Standard_NC6 VM Low Priority,Microsoft Azure
Virtual Machines,Standard_L16 VM (Windows),Microsoft Azure
Data Services,Search,Microsoft Azure
Virtual Machines,A1 VM,Microsoft Azure
Data Management,,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D5_v2 VM_Promo (Windows),Microsoft Azure
Business Analytics,HDInsight Storage,Microsoft Azure
Business Analytics,Stream Analytics,Microsoft Azure
Cloud Services,A11 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Data Services,Cosmos DB,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Virtual Machines,Standard_L32 VM (Windows),Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Business Analytics,D2 HDInsight (Non-Windows),Microsoft Azure
Virtual Machines,Standard_D4 VM Low Priority (Windows),Microsoft Azure
Virtual Machines,A0 VM,Microsoft Azure
Data Management,Read-Access Geo Redundant,Microsoft Azure
Cloud Services,Standard_E2_v3 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D15_v2 VM (Windows),Microsoft Azure
Analysis Services,Tabular,Microsoft Azure
Virtual Machines,Standard_A8_v2 VM,Microsoft Azure
Media,Media Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Cloud Services,A1 Cloud Services Low Priority,Microsoft Azure
Data Services,SQL Data Warehouse,Microsoft Azure
Cloud Services,Standard_D1_v2 Cloud Services,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,Standard_A2m_v2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_M64s VM,Microsoft Azure
Cloud Services,Standard_E8_v3 Cloud Services,Microsoft Azure
Virtual Machines,Standard_A4m_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_H16mr VM,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_A2m_v2 VM,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM_Promo (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,BASIC.A2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D14_v2 VM_Promo,Microsoft Azure
Virtual Machines,Standard_A8_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_A8_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D13 VM (Windows),Microsoft Azure
Virtual Machines,Standard_NC24r VM (Windows),Microsoft Azure
Virtual Machines,Standard_F4 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D13 VM (Windows),Microsoft Azure
Power BI,Embedded,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_G1 VM (Windows),Microsoft Azure
Virtual Machines,MSFT R Server for Linux (up to 4 c),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_F8 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_L32 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D1_v2 VM (Windows),Microsoft Azure
Network Watcher,,Microsoft Azure
Cloud Services,Standard_L32 Cloud Services,Microsoft Azure
Cloud Services,Standard_D12_v2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM_Promo (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Data Services,Cosmos DB,Microsoft Azure
Business Analytics,A2 HDInsight (Non-Windows),Microsoft Azure
Virtual Machines,A4 VM (Windows),Microsoft Azure
Networking,WAF Application Gateway (Large),Microsoft Azure
Cognitive Services,Translator Text API,Microsoft Azure
Business Analytics,D5 HDInsight (Non-Windows),Microsoft Azure
Virtual Machines,BASIC.A2 VM (Windows),Microsoft Azure
