category,name,subcategory
"Dynamics 365 for Team Members, Enterprise Edition - From SA From Team Members (On-Premises) User/Device CAL for Faculty",Dynamics 365, 
"Dynamics 365 for Team Members, Enterprise Edition - From SA From Team Members (On-Premises) User/Device CAL for Students",Dynamics 365, 
"Dynamics 365 for Unf Ops Plan, Ent Edition",Dynamics 365, 
"Dynamics 365 for Unf Ops Plan, Ent Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Unf Ops Plan, Ent Edition for Students",Dynamics 365, 
Enterprise Mobility + Security E3,other_microsoft, 
Enterprise Mobility + Security E3 for Faculty,other_microsoft, 
Enterprise Mobility + Security E3 for Students,other_microsoft, 
Enterprise Mobility + Security E5,other_microsoft, 
Enterprise Mobility + Security E5 for Faculty,other_microsoft, 
Enterprise Mobility + Security E5 for Students,other_microsoft, 
Exchange Online (Plan 1),other_microsoft, 
Exchange Online (Plan 2),other_microsoft, 
Exchange Online Advanced Threat Protection ,other_microsoft, 
Exchange Online Advanced Threat Protection for faculty,other_microsoft, 
Exchange Online Advanced Threat Protection for students,other_microsoft, 
Exchange Online Archiving (EOA) for Exchange Server,other_microsoft, 
Exchange Online Archiving for Exchange Online,other_microsoft, 
Exchange Online Kiosk,other_microsoft, 
Exchange Online Protection,other_microsoft, 
"Flow Additional Runs per 50,000",other_microsoft, 
"Flow Additional Runs per 50,000 (Dyn365)",Dynamics 365, 
"Flow Additional Runs per 50,000 for Faculty",other_microsoft, 
"Flow Additional Runs per 50,000 for Faculty (Dyn365)",Dynamics 365, 
"Flow Additional Runs per 50,000 for Students",other_microsoft, 
"Flow Additional Runs per 50,000 for Students (Dyn365)",Dynamics 365, 
Microsoft 365 Business Preview,other_microsoft, 
Microsoft 365 E3,other_microsoft, 
Microsoft 365 E5,other_microsoft, 
Microsoft 365 E5 without PSTN Conferencing,other_microsoft, 
Microsoft Azure Multi-Factor Authentication,Microsoft Azure, 
Microsoft Cloud App Security,other_microsoft, 
Microsoft Flow P1,other_microsoft, 
Microsoft Flow P1 for Faculty,other_microsoft, 
Microsoft Flow P1 for Students,other_microsoft, 
Microsoft Flow P2,other_microsoft, 
Microsoft Flow P2 for Faculty,other_microsoft, 
Microsoft Flow P2 for Students,other_microsoft, 
Microsoft Intune,other_microsoft, 
Microsoft Intune Device,other_microsoft, 
Microsoft Intune for Education for Faculty,other_microsoft, 
Microsoft Intune for Education for Students,other_microsoft, 
Microsoft Intune™ Extra Storage,other_microsoft, 
Microsoft PowerApps P1,other_microsoft, 
Microsoft PowerApps P1 for Faculty,other_microsoft, 
Microsoft PowerApps P1 for Students,other_microsoft, 
Microsoft PowerApps P2,other_microsoft, 
Microsoft PowerApps P2 for Faculty,other_microsoft, 
Microsoft PowerApps P2 for Students,other_microsoft, 
Microsoft Social Engagement Additional 10K Posts,other_microsoft, 
Microsoft Social Engagement Additional 10k Posts (minimum 10 licenses),other_microsoft, 
Microsoft Social Engagement Additional 10k Posts (minimum 100 licenses),other_microsoft, 
Microsoft Stream Plan 2 for Office 365 Add-On,Microsoft Office 365, 
Microsoft Stream Plan 2 for Office 365 Add-On for faculty,Microsoft Office 365, 
Microsoft Stream Plan 2 for Office 365 Add-On for students,Microsoft Office 365, 
Minecraft: Education Edition,other_microsoft, 
Office 365 Advanced eDiscovery,Microsoft Office 365, 
Office 365 Advanced eDiscovery for faculty,Microsoft Office 365, 
Office 365 Advanced eDiscovery for students,Microsoft Office 365, 
Office 365 Advanced Security Management,Microsoft Office 365, 
Office 365 Business,Microsoft Office 365, 
Office 365 Business Essentials,Microsoft Office 365, 
Office 365 Business Premium,Microsoft Office 365, 
Office 365 Education E5 for faculty,Microsoft Office 365, 
Office 365 Education E5 for students,Microsoft Office 365, 
Office 365 Education for faculty,Microsoft Office 365, 
Office 365 Education for students,Microsoft Office 365, 
Office 365 Enterprise E1,Microsoft Office 365, 
Office 365 Enterprise E3,Microsoft Office 365, 
Office 365 Enterprise E4,Microsoft Office 365, 
Office 365 Enterprise E5,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing for faculty,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing for faculty,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing for students,Microsoft Office 365, 
Office 365 Enterprise E5 without PSTN Conferencing for students,Microsoft Office 365, 
Office 365 Extra File Storage,Microsoft Office 365, 
Office 365 F1,Microsoft Office 365, 
Office 365 ProPlus,Microsoft Office 365, 
Office 365 ProPlus for faculty,Microsoft Office 365, 
Office 365 ProPlus for students,Microsoft Office 365, 
Office 365 Threat Intelligence,Microsoft Office 365, 
Office 365 Threat Intelligence for faculty,Microsoft Office 365, 
Office 365 Threat Intelligence for students,Microsoft Office 365, 
OneDrive for Business (Plan 1),other_microsoft, 
OneDrive for Business (Plan 2),other_microsoft, 
Power BI Premium P1,other_microsoft, 
Power BI Premium P1 for Faculty,other_microsoft, 
Power BI Premium P1 for Students,other_microsoft, 
Power BI Premium P2,other_microsoft, 
Power BI Premium P2 for Faculty,other_microsoft, 
Power BI Premium P2 for Students,other_microsoft, 
Power BI Premium P3,other_microsoft, 
Power BI Premium P3 for Faculty,other_microsoft, 
Power BI Premium P3 for Students,other_microsoft, 
Power BI Pro,other_microsoft, 
Power BI Pro for faculty,other_microsoft, 
Power BI Pro for students,other_microsoft, 
PowerApps Additional Data Storage,other_microsoft, 
PowerApps Additional Data Storage (Dyn365),Dynamics 365, 
PowerApps Additional Data Storage for Faculty,other_microsoft, 
PowerApps Additional Data Storage for Faculty (Dyn365),Dynamics 365, 
PowerApps Additional Data Storage for Students,other_microsoft, 
PowerApps Additional Data Storage for Students (Dyn365),Dynamics 365, 
PowerApps Additional File Storage per 500GB,other_microsoft, 
PowerApps Additional File Storage per 500GB (Dyn365),Dynamics 365, 
PowerApps Additional File Storage per 500GB for Faculty,other_microsoft, 
PowerApps Additional File Storage per 500GB for Faculty (Dyn365),Dynamics 365, 
PowerApps Additional File Storage per 500GB for Students,other_microsoft, 
PowerApps Additional File Storage per 500GB for Students (Dyn365),Dynamics 365, 
PowerApps Enterprise Environment,other_microsoft, 
PowerApps Enterprise Environment (Dyn365),Dynamics 365, 
PowerApps Enterprise Environment for Faculty,other_microsoft, 
PowerApps Enterprise Environment for Faculty (Dyn365),Dynamics 365, 
PowerApps Enterprise Environment for Students,other_microsoft, 
PowerApps Enterprise Environment for Students (Dyn365),Dynamics 365, 
PowerApps Professional Environment,other_microsoft, 
PowerApps Professional Environment (Dyn365),Dynamics 365, 
PowerApps Professional Environment for Faculty,other_microsoft, 
PowerApps Professional Environment for Faculty (Dyn365),Dynamics 365, 
PowerApps Professional Environment for Students,other_microsoft, 
PowerApps Professional Environment for Students (Dyn365),Dynamics 365, 
Project Online,other_microsoft, 
Project Online Essentials,other_microsoft, 
Project Online Premium,other_microsoft, 
Project Online Professional,other_microsoft, 
Project Online with Project Pro for Office 365,Microsoft Office 365, 
Project Pro for Office 365,Microsoft Office 365, 
SharePoint Online (Plan 1),other_microsoft, 
SharePoint Online (Plan 2),other_microsoft, 
Skype for Business Cloud PBX,other_microsoft, 
Skype for Business Cloud PBX for faculty,other_microsoft, 
Skype for Business Cloud PBX for students,other_microsoft, 
Skype for Business Online (Plan 1),other_microsoft, 
Skype for Business Online (Plan 2),other_microsoft, 
Skype for Business Plus CAL,other_microsoft, 
Skype for Business Plus CAL for faculty,other_microsoft, 
Skype for Business Plus CAL for students,other_microsoft, 
Skype for Business PSTN Conferencing,other_microsoft, 
Skype for Business PSTN Conferencing for E5 without PSTN Conferencing Customers,other_microsoft, 
Skype for Business PSTN Conferencing for E5 without PSTN Conferencing for faculty Customers,other_microsoft, 
Skype for Business PSTN Conferencing for E5 without PSTN Conferencing for students,other_microsoft, 
Skype for Business PSTN Conferencing for faculty,other_microsoft, 
Skype for Business PSTN Conferencing for students,other_microsoft, 
Skype for Business PSTN Domestic and International Calling,other_microsoft, 
Skype for Business PSTN Domestic and International Calling for faculty,other_microsoft, 
Skype for Business PSTN Domestic and International Calling for students,other_microsoft, 
Skype for Business PSTN Domestic Calling,other_microsoft, 
Skype for Business PSTN Domestic Calling for faculty,other_microsoft, 
Skype for Business PSTN Domestic Calling for students,other_microsoft, 
Visio Pro for Office 365,Microsoft Office 365, 
Windows 10 Enterprise E3,other_microsoft, 
Yammer Enterprise,other_microsoft, 
