category,name,subcategory
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 2:Standard Acceptance Testing for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 3:Premier Acceptance Testing,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 3:Premier Acceptance Testing for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 3:Premier Acceptance Testing for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 4:Standard Performance Testing,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 4:Standard Performance Testing for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 4:Standard Performance Testing for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 5:Premier Performance Testing,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 5:Premier Performance Testing for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 5:Premier Performance Testing for Students,Dynamics 365, 
Dynamics 365 Ent edition Plan for Faculty,Dynamics 365, 
Dynamics 365 Ent edition Plan for Students,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Database Storage,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Non-Production Instance,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Portal,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Portal Page Views,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Production Instance,Dynamics 365, 
Dynamics 365 Enterprise Edition - Additional Social Posts,Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - Add-On for CRM Basic (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - Add-On for CRM Basic (Qualified Offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - Add-On for CRM Basic (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA for CRM Basic (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA for CRM Basic (Qualified Offer) for Faculty",Dynamics 365, 
