,brand,model,partner_price,retail_price,category
244,Cisco,CRS-16-FC140/M=,84000.0,140000.0,Network
245,Cisco,CRS-16-FC140/S++=,37500.0,62500.0,Network
246,Cisco,CRS-16-FC140/S-RF,22500.0,37500.0,Network
247,Cisco,CRS-16-FAN-CT++=,8100.0,13500.0,Network
248,Cisco,CRS-16-FC/S-RF,22500.0,37500.0,Network
249,Cisco,CRS-16-FC/M-RF,23400.0,39000.0,Network
250,Cisco,CRS-16-FAN-CT=,8100.0,13500.0,Network
251,Cisco,CRS-16-FANTRAY=,12300.0,20500.0,Network
252,Cisco,CPT-50-BRKTWM=,30.0,50.0,Network
253,Cisco,CPT-50-FTA=,120.0,200.0,Network
254,Cisco,CPT-50-FTF=,18.0,30.0,Network
255,Cisco,CPT-AC-CBL-ARG=,24.0,40.0,Power
256,Cisco,CPT-AC-CBL-AUS=,24.0,40.0,Power
257,Cisco,CPT-AC-CBL2=,24.0,40.0,Power
258,Cisco,CPT-AC-CBL2,24.0,40.0,Power
259,Cisco,CPT-AC-CBL-UK=,24.0,40.0,Power
260,Cisco,CPT-AC-CBL-L6=,30.0,50.0,Power
261,Cisco,CPT-AC-CBL-KOR=,24.0,40.0,Power
262,Cisco,CPT-AC-CBL-CHI=,24.0,40.0,Power
263,Cisco,CPT-AC-CBL-EU=,24.0,40.0,Power
264,Cisco,CPT-AC-CBL-JPN=,24.0,40.0,Power
265,Cisco,CPT-AC-CBL-IND=,24.0,40.0,Power
266,Cisco,CPT-50-44GE-48E=,15000.0,25000.0,Network
267,Cisco,CPT-50-44GE-48A=,15000.0,25000.0,Network
269,Cisco,STACK-T2-1M,120.0,200.0,Network
270,Cisco,STACK-T1-50CM=,60.0,100.0,Network
271,Cisco,STACK-T1-50CM-RF,36.0,60.0,Network
272,Cisco,STACK-T1-3M=,180.0,300.0,Network
273,Cisco,STACK-T1-3M-RF,108.0,180.0,Network
274,Cisco,STACK-T1-3M,180.0,300.0,Server
275,Cisco,STACK-T1-1M=,120.0,200.0,Network
276,Cisco,STACK-T1-1M-RF,72.0,120.0,Network
277,Cisco,STACK-T1-1M,120.0,200.0,Network
278,Cisco,CQ2.0-SW-DEV-K9=,779.4,1299.0,Network
279,Cisco,CQ2.0-SW-DEV-K9,779.4,1299.0,Network
280,Cisco,CPW-UC-REDUN,354.0,590.0,Network
281,Cisco,CPW-UC-K9,1530.0,2550.0,Network
282,Cisco,CPW-UC-50USR,381.0,635.0,Network
285,Cisco,CPTPTF256-10GX4-RF,11520.0,19200.0,Network
294,Cisco,AIM-ATM-VOICE30-RF,972.6,1621.0,Network
295,Cisco,AIM-ATM-8-RF,648.0,1080.0,Network
296,Cisco,AIM-ATM-4T1-RF,1440.0,2400.0,Network
297,Cisco,AIM-ATM-4E1-RF,1440.0,2400.0,Network
300,Cisco,CRS-16-LCC-FRNT-RF,2772.0,4620.0,Network
301,Cisco,CRS-16-LCC-FILTER=,720.0,1200.0,Network
302,Cisco,CRS-16-LCC-F-CT-B=,8100.0,13500.0,Network
303,Cisco,CRS-16-LCC-DRSR-RF,1800.0,3000.0,Network
304,Cisco,CRS-16-LCC-BCK-BF=,4500.0,7500.0,Network
305,Cisco,CRS-16-LCC-B=,96000.0,160000.0,Network
