brand,model,category
EMC,ISILON S210-SAS-E02,Storage
EMC,ISILON S210-SAS-E03,Storage
EMC,ISILON S210-SAS-E04,Storage
EMC,ISILON S210-SAS-E05,Storage
EMC,ISILON S210-SAS-E06,Storage
EMC,ISILON S210-SAS-E07,Storage
EMC,ISILON S210-SAS-E08,Storage
EMC,ISILON S210-SAS-E09,Storage
EMC,ISILON S210-SAS-E10,Storage
EMC,ISILON S210-SAS-E11,Storage
EMC,ISILON S210-SAS-E12,Storage
EMC,ISILON S210-SAS-E13,Storage
EMC,ISILON S210-SAS-E14,Storage
EMC,ISILON S210-SAS-E15,Storage
EMC,ISILON S210-SAS-E16,Storage
EMC,ISILON S210-SAS-E17,Storage
EMC,ISILON S210-SAS-E18,Storage
EMC,ISILON S210-SAS-E19,Storage
EMC,ISILON S210-SAS-E20,Storage
EMC,ISILON S210-SAS-E21,Storage
EMC,ISILON S210-SAS-E22,Storage
EMC,ISILON S210-SAS-E23,Storage
EMC,ISILON S210-SAS-E24,Storage
EMC,ISILON S210-SAS-E25,Storage
EMC,ISILON S210-SAS-E26,Storage
EMC,ISILON S210-SAS-E27,Storage
EMC,ISILON S210-SAS-E28,Storage
EMC,ISILON S210-SAS-E29,Storage
EMC,ISILON S210-SAS-E30,Storage
EMC,ISILON S210-SAS-E31,Storage
EMC,ISILON S210-SAS-E32,Storage
EMC,ISILON S210-SAS-E33,Storage
EMC,ISILON S210-SAS-E34,Storage
EMC,ISILON S210-SAS-E35,Storage
EMC,ISILON S210-SAS-E36,Storage
EMC,ISILON S210-SAS-S01,Storage
EMC,ISILON S210-SAS-S02,Storage
EMC,ISILON S210-SAS-S03,Storage
EMC,ISILON S210-SAS-S04,Storage
EMC,ISILON S210-SAS-S05,Storage
EMC,ISILON S210-SAS-S06,Storage
EMC,ISILON S210-SAS-S07,Storage
EMC,ISILON S210-SAS-S08,Storage
EMC,ISILON S210-SAS-S09,Storage
EMC,ISILON S210-SAS-S10,Storage
EMC,ISILON S210-SAS-S100,Storage
EMC,ISILON S210-SAS-S101,Storage
EMC,ISILON S210-SAS-S102,Storage
EMC,ISILON S210-SAS-S103,Storage
EMC,ISILON S210-SAS-S104,Storage
EMC,ISILON S210-SAS-S105,Storage
EMC,ISILON S210-SAS-S106,Storage
EMC,ISILON S210-SAS-S107,Storage
EMC,ISILON S210-SAS-S108,Storage
EMC,ISILON S210-SAS-S109,Storage
EMC,ISILON S210-SAS-S11,Storage
EMC,ISILON S210-SAS-S110,Storage
EMC,ISILON S210-SAS-S111,Storage
EMC,ISILON S210-SAS-S112,Storage
EMC,ISILON S210-SAS-S113,Storage
EMC,ISILON S210-SAS-S114,Storage
EMC,ISILON S210-SAS-S115,Storage
EMC,ISILON S210-SAS-S116,Storage
EMC,ISILON S210-SAS-S117,Storage
EMC,ISILON S210-SAS-S118,Storage
EMC,ISILON S210-SAS-S119,Storage
EMC,ISILON S210-SAS-S12,Storage
EMC,ISILON S210-SAS-S120,Storage
EMC,ISILON S210-SAS-S121,Storage
EMC,ISILON S210-SAS-S122,Storage
EMC,ISILON S210-SAS-S123,Storage
EMC,ISILON S210-SAS-S124,Storage
EMC,ISILON S210-SAS-S125,Storage
EMC,ISILON S210-SAS-S126,Storage
EMC,ISILON S210-SAS-S127,Storage
EMC,ISILON S210-SAS-S128,Storage
EMC,ISILON S210-SAS-S129,Storage
EMC,ISILON S210-SAS-S13,Storage
EMC,ISILON S210-SAS-S130,Storage
EMC,ISILON S210-SAS-S131,Storage
EMC,ISILON S210-SAS-S132,Storage
EMC,ISILON S210-SAS-S133,Storage
EMC,ISILON S210-SAS-S134,Storage
EMC,ISILON S210-SAS-S135,Storage
EMC,ISILON S210-SAS-S136,Storage
EMC,ISILON S210-SAS-S137,Storage
EMC,ISILON S210-SAS-S138,Storage
EMC,ISILON S210-SAS-S139,Storage
EMC,ISILON S210-SAS-S14,Storage
EMC,ISILON S210-SAS-S140,Storage
EMC,ISILON S210-SAS-S141,Storage
EMC,ISILON S210-SAS-S142,Storage
EMC,ISILON S210-SAS-S143,Storage
EMC,ISILON S210-SAS-S144,Storage
EMC,ISILON S210-SAS-S145,Storage
EMC,ISILON S210-SAS-S146,Storage
EMC,ISILON S210-SAS-S147,Storage
EMC,ISILON S210-SAS-S148,Storage
EMC,ISILON S210-SAS-S149,Storage
EMC,ISILON S210-SAS-S15,Storage
EMC,ISILON S210-SAS-S150,Storage
EMC,ISILON S210-SAS-S151,Storage
EMC,ISILON S210-SAS-S152,Storage
EMC,ISILON S210-SAS-S153,Storage
EMC,ISILON S210-SAS-S154,Storage
EMC,ISILON S210-SAS-S155,Storage
EMC,ISILON S210-SAS-S156,Storage
EMC,ISILON S210-SAS-S157,Storage
EMC,ISILON S210-SAS-S158,Storage
EMC,ISILON S210-SAS-S159,Storage
EMC,ISILON S210-SAS-S16,Storage
EMC,ISILON S210-SAS-S160,Storage
EMC,ISILON S210-SAS-S161,Storage
EMC,ISILON S210-SAS-S162,Storage
EMC,ISILON S210-SAS-S163,Storage
EMC,ISILON S210-SAS-S164,Storage
EMC,ISILON S210-SAS-S165,Storage
EMC,ISILON S210-SAS-S166,Storage
EMC,ISILON S210-SAS-S167,Storage
EMC,ISILON S210-SAS-S168,Storage
EMC,ISILON S210-SAS-S169,Storage
EMC,ISILON S210-SAS-S17,Storage
EMC,ISILON S210-SAS-S170,Storage
EMC,ISILON S210-SAS-S171,Storage
EMC,ISILON S210-SAS-S172,Storage
EMC,ISILON S210-SAS-S173,Storage
EMC,ISILON S210-SAS-S174,Storage
EMC,ISILON S210-SAS-S175,Storage
EMC,ISILON S210-SAS-S176,Storage
EMC,ISILON S210-SAS-S177,Storage
EMC,ISILON S210-SAS-S178,Storage
EMC,ISILON S210-SAS-S179,Storage
EMC,ISILON S210-SAS-S18,Storage
EMC,ISILON S210-SAS-S180,Storage
EMC,ISILON S210-SAS-S181,Storage
EMC,ISILON S210-SAS-S182,Storage
EMC,ISILON S210-SAS-S183,Storage
EMC,ISILON S210-SAS-S184,Storage
EMC,ISILON S210-SAS-S185,Storage
EMC,ISILON S210-SAS-S186,Storage
EMC,ISILON S210-SAS-S187,Storage
EMC,ISILON S210-SAS-S188,Storage
EMC,ISILON S210-SAS-S189,Storage
EMC,ISILON S210-SAS-S19,Storage
EMC,ISILON S210-SAS-S190,Storage
EMC,ISILON S210-SAS-S191,Storage
EMC,ISILON S210-SAS-S192,Storage
EMC,ISILON S210-SAS-S193,Storage
EMC,ISILON S210-SAS-S194,Storage
