Effective Date,Meter Category,Meter Subcategory,Region,Name,Resource ID,Tags,Included Quantities,Minimum Value,AUD,CAD,CHF,DKK,EUR,GBP,INR,JPY,KRW,NOK,NZD,RUB,SEK,TWD,USD
9/1/2017,Data Management,,,Archive Block Blob Data Write (GB),f24fc6fe-283e-4d2b-b346-c9565c8194b7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2017,Storage,Geo Redundant,UK West,Standard IO - Hot Block Blob (GB),30e21f89-7f2a-4359-bef9-4eed5134c498,,0,0,0.041573568,0.039686976,0.029477184,0.205416576,0.027525312,0.02432688576,2.1573816,3.32928,39.168,0.264844224,0.048734784,2.04,0.256915968,1.0127376,0.03264
9/1/2017,Storage,Geo Redundant,UK West,Standard IO - Hot Block Blob (GB),30e21f89-7f2a-4359-bef9-4eed5134c498,,0,51200,0.03991062528,0.03809949696,0.02829809664,0.19719991296,0.02642429952,0.0233538103296,2.071086336,3.1961088,37.60128,0.25425045504,0.04678539264,1.9584,0.24663932928,0.972228096,0.0313344
9/1/2017,Storage,Geo Redundant,UK West,Standard IO - Hot Block Blob (GB),30e21f89-7f2a-4359-bef9-4eed5134c498,,0,512000,0.03824768256,0.03651201792,0.02711900928,0.18898324992,0.02532328704,0.0223807348992,1.984791072,3.0629376,36.03456,0.24365668608,0.04483600128,1.8768,0.23636269056,0.931718592,0.0300288
9/1/2017,Cloud Services,Standard_D3_v2 Cloud Services,JA West,Compute Hours,de906888-5097-4b18-80e0-56d8aba038b1,,0,0,0.63226468,0.60357276,0.44829884,3.12404376,0.41861412,0.3699713876,32.8101785,50.6328,595.68,4.02783924,0.74117484,31.025,3.90726368,15.402051,0.4964
9/1/2017,Cloud Services,Standard_M128s Cloud Services,US East 2,Compute Hours,fa75f2c2-310e-459e-b0f9-a3f8d82d5a44,,0,0,20.81493277,19.87035939,14.75855051,102.84737214,13.78129293,12.1799142089,1080.151527125,1666.8942,19610.52,132.60143361,24.40038951,1021.38125,128.63193752,507.05450775,16.3421
9/1/2017,Azure App Service,,US West,Isolated Extra Large App Service Hours,58ef4620-b85a-404e-87d8-5e6b8920c87f,,0,0,3.745085584,3.575135088,2.655402992,18.504609888,2.479571856,2.19144695888,194.3441258,299.91264,3528.384,23.858050512,4.390191792,183.77,23.143846784,91.2307788,2.94032
9/1/2017,Data Services,Azure Database for MySQL,KR South,Basic Storage,04a5c7c3-49c2-42c4-aace-ac80bccbb4f2,,0,0,0.0776039936,0.0740823552,0.0550240768,0.3834442752,0.0513805824,0.045410186752,4.02711232,6.214656,73.1136,0.4943758848,0.0909715968,3.808,0.4795764736,1.89044352,0.060928
9/1/2017,Data Services,SQL Database,US Gov TX,Standard S1 GRS Database Days,1b7eab35-5b34-4a92-a662-37aa5a3ef044,,0,0,0.9743805,0.9301635,0.6908715,4.814451,0.6451245,0.570161385,50.56363125,78.03,918,6.2072865,1.1422215,47.8125,6.021468,23.7360375,0.765
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,0,0.3680993,0.3513951,0.2609959,1.8187926,0.2437137,0.215394301,19.10181625,29.478,346.8,2.3449749,0.4315059,18.0625,2.2747768,8.9669475,0.289
