,brand,model,retail_price,partner_price,category
316,SonicWall,SONICPOINT N2 W/O POE INJECTOR 24X7 DYNAMIC ,1335,1335,Network
328,SonicWall,NSA 5600 GEN5 FIREWALL REPLACEMENT ,12468,12468,Network
360,SonicWall,SOHO GEN5 FIREWALL REPLACEMENT ,446,446,Network
361,SonicWall,SOHO WIRELESS-N GEN5 FIREWALL REPLACEMENT ,548,548,Network
362,SonicWall,SOHO WIRELESS-N INTL GEN5 FIREWALL REPLACEMENT ,548,548,Network
363,SonicWall,TZ300 GEN5 FIREWALL REPLACEMENT ,971,971,Network
364,SonicWall,TZ300 WIRELESS-AC GEN5 FIREWALL REPLACEMENT ,1099,1099,Network
365,SonicWall,TZ300 WIRELESS-AC INTL GEN5 FIREWALL REPLACEMENT ,1099,1099,Network
366,SonicWall,TZ400 GEN5 FIREWALL REPLACEMENT ,1106,1106,Network
367,SonicWall,TZ400 WIRELESS-AC GEN5 FIREWALL REPLACEMENT ,1256,1256,Network
368,SonicWall,TZ400 WIRELESS-AC INTL GEN5 FIREWALL REPLACEMENT ,1256,1256,Network
369,SonicWall,TZ500 GEN5 FIREWALL REPLACEMENT ,1482,1482,Network
370,SonicWall,TZ500 WIRELESS-AC GEN5 FIREWALL REPLACEMENT ,1586,1586,Network
371,SonicWall,TZ500 WIRELESS-AC INTL GEN5 FIREWALL REPLACEMENT ,1586,1586,Network
372,SonicWall,TZ600 GEN5 FIREWALL REPLACEMENT ,1901,1901,Network
373,SonicWall,NSA 2600 GEN5 FIREWALL REPLACEMENT ,2804,2804,Network
374,SonicWall,NSA 3600 GEN5 FIREWALL REPLACEMENT ,4854,4854,Network
375,SonicWall,NSA 4600 GEN5 FIREWALL REPLACEMENT ,6798,6798,Network
531,SonicWall,TZ300  TOTAL SECURE - ADVANCED EDITION,1214,1214,Network
532,SonicWall,TZ300 WIRELESS-AC TOTAL SECURE- ADVANCED EDITION,1374,1374,Network
533,SonicWall,TZ300  WIRELESS-AC INTL TOTAL SECURE- ADVANCED EDITION,1374,1374,Network
534,SonicWall,TZ400  TOTAL SECURE- ADVANCED EDITION,1474,1474,Network
535,SonicWall,TZ400 WIRELESS-AC TOTAL SECURE- ADVANCED EDITION,1674,1674,Network
536,SonicWall,TZ400 WIRELESS-AC INTL TOTAL SECURE- ADVANCED EDITION,1674,1674,Network
537,SonicWall,TZ500  TOTAL SECURE- ADVANCED EDITION,2117,2117,Network
538,SonicWall,TZ500  WIRELESS-AC TOTAL SECURE- ADVANCED EDITION,2265,2265,Network
539,SonicWall,TZ500  WIRELESS-AC INTL TOTAL SECURE- ADVANCED EDITION,2265,2265,Network
540,SonicWall,TZ600  TOTAL SECURE- ADVANCED EDITION,2715,2715,Network
541,SonicWall,NSA 2600 TOTAL SECURE- ADVANCED EDITION,3739,3739,Network
542,SonicWall,NSA 3600 TOTAL SECURE- ADVANCED EDITION,6472,6472,Network
543,SonicWall,NSA 4600 TOTAL SECURE- ADVANCED EDITION,9064,9064,Network
544,SonicWall,NSA 5600 TOTAL SECURE- ADVANCED EDITION,17812,17812,Network
545,SonicWall,NSA 6600 TOTAL SECURE- ADVANCED EDITION,32392,32392,Network
546,SonicWall,SUPERMASSIVE 9200 TOTAL SECURE- ADVANCED EDITION,43732,43732,Network
547,SonicWall,SUPERMASSIVE 9400 TOTAL SECURE- ADVANCED EDITION,56692,56692,Network
548,SonicWall,SUPERMASSIVE 9600 TOTAL SECURE- ADVANCED EDITION,64792,64792,Network
